rank,domain,word1,tld,phrase_count,premium_likely,restricted
1,store.reviews,store,reviews,12191834,0,0
2,learn.how,learn,how,11672160,1,0
3,per.day,per,day,10726898,0,0
4,out.how,out,how,10356203,1,0
5,free.delivery,free,delivery,9277958,0,0
6,please.select,please,select,8511396,0,0
7,movies.online,movies,online,8393304,0,0
8,maximum.bid,maximum,bid,7646545,0,0
9,following.review,following,review,6770864,0,0
10,see.store,see,store,5638970,0,0
11,store.review,store,review,5380023,0,0
12,matter.how,matter,how,4704599,1,0
13,own.blog,own,blog,4599805,0,0
14,recent.exchange,recent,exchange,4545777,0,0
15,open.site,open,site,3998106,0,0
16,product.reviews,product,reviews,3228698,0,0
17,payday.loan,payday,loan,3041536,0,0
18,company.loan,company,loan,2913124,0,0
19,other.parts,other,parts,2612927,0,0
20,national.security,national,security,2602397,1,0
21,good.faith,good,faith,2528687,0,0
22,personal.loan,personal,loan,2475365,0,0
23,friendly.page,friendly,page,2469031,0,0
24,larger.photo,larger,photo,2421110,0,0
25,own.online,own,online,2402175,0,0
26,read.reviews,read,reviews,2384608,0,0
27,free.poker,free,poker,2363079,0,0
28,strip.poker,strip,poker,2331715,0,0
29,show.how,show,how,2323458,1,0
30,major.credit,major,credit,2318099,1,0
31,learn.software,learn,software,2284000,0,0
32,raw.data,raw,data,2253047,1,0
33,care.services,care,services,2251000,0,0
34,mortgage.loan,mortgage,loan,2153936,0,0
35,edited.directory,edited,directory,2021486,0,0
36,young.men,young,men,2016071,0,0
37,without.express,without,express,2012832,0,0
38,includes.tax,includes,tax,2010706,0,0
39,equity.loan,equity,loan,1973017,0,0
40,buy.online,buy,online,1963140,0,0
41,purchase.tickets,purchase,tickets,1956645,1,0
42,trusted.store,trusted,store,1955402,0,0
43,guests.online,guests,online,1910185,0,0
44,check.store,check,store,1891379,0,0
45,own.site,own,site,1818552,0,0
46,consumer.review,consumer,review,1818002,0,0
47,own.review,own,review,1789191,0,0
48,music.video,music,video,1781105,0,0
49,public.safety,public,safety,1741756,1,0
50,announced.today,announced,today,1733435,0,0
51,sure.how,sure,how,1731012,1,0
52,showing.page,showing,page,1684845,0,0
53,see.site,see,site,1643977,0,0
54,people.living,people,living,1637355,0,0
55,sublime.directory,sublime,directory,1627813,0,0
56,personal.property,personal,property,1589201,1,0
57,determine.how,determine,how,1557896,1,0
58,other.party,other,party,1555316,0,0
59,ebay.company,ebay,company,1534287,0,0
60,much.fun,much,fun,1506448,0,0
61,gay.video,gay,video,1470166,0,0
62,read.review,read,review,1455557,0,0
63,student.loan,student,loan,1445832,0,0
64,view.tickets,view,tickets,1427860,1,0
65,public.education,public,education,1425714,0,0
66,latest.news,latest,news,1418843,0,0
67,make.one,make,one,1407415,0,0
68,related.services,related,services,1402895,0,0
69,free.online,free,online,1395300,0,0
70,gay.movie,gay,movie,1378081,1,0
71,lesbian.movie,lesbian,movie,1369153,1,0
72,casino.poker,casino,poker,1366710,0,0
73,some.help,some,help,1358060,0,0
74,working.day,working,day,1353959,0,0
75,down.menu,down,menu,1350185,0,0
76,graduate.school,graduate,school,1349967,0,0
77,online.video,online,video,1336622,0,0
78,free.trade,free,trade,1306950,0,0
79,having.fun,having,fun,1304024,0,0
80,some.degree,some,degree,1276808,0,0
81,equity.loans,equity,loans,1269905,0,0
82,shopping.online,shopping,online,1269756,0,0
83,community.college,community,college,1244191,0,0
84,internet.poker,internet,poker,1243929,0,0
85,per.game,per,game,1240517,1,0
86,online.online,online,online,1231659,0,0
87,multiple.photos,multiple,photos,1231294,0,0
88,please.review,please,review,1229417,0,0
89,present.day,present,day,1219298,0,0
90,whole.family,whole,family,1219037,0,0
91,other.one,other,one,1204611,0,0
92,like.one,like,one,1199449,0,0
93,private.property,private,property,1197460,1,0
94,here.today,here,today,1196314,0,0
95,keys.help,keys,help,1189271,0,0
96,different.parts,different,parts,1180943,0,0
97,loan.online,loan,online,1175008,0,0
98,leaving.directory,leaving,directory,1173706,0,0
99,paris.art,paris,art,1139976,0,0
100,drug.store,drug,store,1136615,0,0
101,entire.directory,entire,directory,1120050,0,0
102,nursing.homes,nursing,homes,1118444,0,0
103,idea.how,idea,how,1109204,1,0
104,disney.world,disney,world,1104557,0,0
105,provide.support,provide,support,1095639,0,0
106,own.website,own,website,1094034,0,0
107,publishers.run,publishers,run,1065380,0,0
108,poker.site,poker,site,1059811,0,0
109,entering.directory,entering,directory,1048352,0,0
110,day.delivery,day,delivery,1046035,0,0
111,other.data,other,data,1033129,1,0
112,secondary.education,secondary,education,1029532,0,0
113,including.one,including,one,1028635,0,0
114,mobile.phone,mobile,phone,1016974,1,0
115,shopping.help,shopping,help,1015504,0,0
116,xxx.movie,xxx,movie,1013453,1,0
117,medical.services,medical,services,1010953,0,0
118,merchant.website,merchant,website,1008326,0,0
